week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_cm,bathroom cabinets_cm,bathroom fixture parts_cm,bathroom fixtures_cm,bathroom shelves_cm,bathroom vanities and sink consoles_cm,medicine cabinets_cm,towel bars and hooks_cm,towels_cm,vanity stools and benches_cm,vanity tops and side splashes_cm
2020-08-10,pre,7516.0,1972.0,8016.0,27588.0,639.0,79922.0,4521.0,2690.0,156.0,1004.0,700.0,1946.3966345827132,616.4995846335814,3.565012667996898,10594.983793580564,188.7056533060339,39714.30955966275,4484.563015373474,1232.6276865023003,84.33179846097929,87.04706764052742,8.901599999999954
2020-08-17,pre,7950.0,1897.0,7706.0,29185.0,529.0,83580.0,4710.0,2386.0,107.0,988.0,797.0,1783.4738345738997,448.29451562188785,1109.7559168807118,8017.984078317934,37.06954603815423,42460.00604351769,3352.706832981312,895.0782250228432,2.1225724700427695,1049.3737727686218,-24.709974000000003
2020-08-24,pre,7651.0,2032.0,7048.0,30665.0,644.0,95502.0,4462.0,2682.0,193.0,999.0,798.0,2305.7940862330875,38.640343082983705,898.144708087395,5846.654824752903,168.20701427159463,42481.45394979378,3015.094581888563,609.9819048327461,18.087416124928325,350.128509755928,-14.46158861457209
2020-08-31,pre,7289.0,1627.0,6701.0,32443.0,521.0,95179.0,4793.0,2502.0,393.0,979.0,772.0,1862.5337842381189,302.54228479197417,1334.2401376029459,8234.770670482512,155.201455261419,45478.26915461581,1623.6888853402754,1304.9169298596205,37.1910384869462,449.0501288608882,-9.046579471752704
2020-09-07,pre,11240.0,1914.0,7740.0,31817.0,636.0,91110.0,4629.0,2733.0,365.0,1034.0,718.0,2200.021873233722,898.2303156822898,2008.5473012092934,8175.234537699198,118.54708796388414,44752.43421098858,3863.531170024792,1461.2902873324986,9.31678173690692,404.38647567770977,-19.48991548203418
2020-09-14,pre,10753.0,1866.0,13209.0,41379.0,776.0,88333.0,4613.0,3910.0,324.0,1267.0,1317.0,1369.7692545158332,983.4603295157312,1169.0010101623302,5776.121133301719,106.9776016818511,41988.400209374915,4037.958404638355,1237.1868167068542,-8.686542286777133,157.97551768629918,71.56113996840982
2020-09-21,pre,14558.0,2086.0,29076.0,81109.0,1195.0,122636.0,5108.0,6243.0,751.0,1219.0,1041.0,1700.3667949999958,507.15560026748824,8.79427456716229,6065.188820870645,117.32374456484769,37165.852230051474,1411.128561317946,1529.9081339064971,19.438248877254026,322.032312463617,782.5042469676162
2020-09-28,pre,12276.0,1805.0,29088.0,74567.0,1269.0,112494.0,4781.0,6056.0,756.0,1311.0,1280.0,2367.456277851302,322.4512407072746,657.374046967897,6937.776629516504,51.311639323583464,36258.98275718145,3477.593709740224,1194.6928061764902,84.96605664002564,177.82002011792116,31.327664852100135
2020-10-05,pre,10209.0,1798.0,27170.0,72372.0,1228.0,89176.0,4425.0,6036.0,593.0,1231.0,1252.0,1384.5219911879133,1559.918435329812,2090.3692694598617,9928.535595341325,165.82572547506024,49428.643775576726,2979.5927768607776,1263.5989498558656,110.54605598845549,898.8618030266218,216.64519729844883
2020-10-12,pre,11831.0,2071.0,31294.0,75513.0,1219.0,86741.0,4766.0,6730.0,770.0,1365.0,1077.0,1628.580048566855,-0.31359441561695567,1235.935906932518,8189.647535153776,-71.06705849222139,42869.94660799541,2247.1023202869924,1688.1961970169377,51.91373188028009,494.82464536694556,-290.4588661349925
2020-10-19,pre,11247.0,1812.0,29751.0,70812.0,1198.0,95478.0,4847.0,6640.0,499.0,1278.0,595.0,2006.405957210085,505.593416042,1044.3932035105852,7782.796072017259,15.086171068063152,37882.13772978037,2053.431959211634,1153.633984039867,83.02778595187492,465.0892307519126,1008.5486815506746
2020-10-26,pre,11705.0,1774.0,29585.0,75195.0,1291.0,88510.0,5527.0,7403.0,534.0,1075.0,597.0,2234.262992559629,204.15333647132192,1695.9369649713963,8294.384490996805,152.6751660293015,37421.33264754055,1419.2518982115946,697.3220753439595,31.60050618151169,356.80668064635427,119.27902089958518
2020-11-02,pre,10977.0,1664.0,25634.0,68196.0,1204.0,84690.0,4996.0,5825.0,288.0,955.0,465.0,1515.6410617906693,136.43960088363804,1111.1294198485643,6301.573316554099,51.19638596497941,27916.36917528316,2609.0008506723043,765.7291940087173,32.11149660786304,7.782107959326675,-10.178623
2020-11-09,pre,9159.0,1980.0,24158.0,72126.0,1382.0,77894.0,5317.0,6178.0,429.0,1156.0,524.0,1919.559255763391,921.0445295438105,1887.087662805172,7547.277669618193,90.19373138669367,38976.497821300836,1936.059745355423,591.0725663925225,91.61592090854782,176.5876755975827,-90.27153531716506
2020-11-16,pre,9502.0,1771.0,23717.0,73225.0,1683.0,81074.0,4825.0,7547.0,613.0,1463.0,514.0,1867.3726855786738,1368.595802779037,-603.3182892374011,4357.535286480669,226.49469604045268,38713.76013852292,4334.315033451895,848.2215023641216,56.82416211629846,1563.318988768705,0.714406966229113
2020-11-23,pre,9014.0,1578.0,20171.0,71959.0,1627.0,79354.0,4542.0,7393.0,553.0,1221.0,411.0,1740.8411477432371,661.9020592822054,212.13642683687297,6242.506562492296,27.419624411701555,36776.33167445668,1872.2849196179066,1043.9183092010771,26.291347391234922,972.9579491452058,38.02391684711955
